event_id,cow,start,end,duration_bins,duration_hours,profile,expected_detected,design_reason,steps_change_target,motion_change_target,transitions_change_target,posture_shift_target,schedule_rotation,realized_position_ratio,source_steps_sum,source_motion_sum,source_transitions_sum,realized_steps_change,realized_motion_change,realized_transitions_change,informative_source_window,detected_any_overlap,novel_start_count,episode_overlap,detected_iou20,best_iou,episode_overlap_raw,detected_iou20_raw,best_iou_raw,attributable_interval_count,onset_delay_hours,score_max,legacy_detected_any_overlap,legacy_novel_start_count,legacy_episode_overlap,legacy_detected_iou20,legacy_best_iou,legacy_episode_overlap_raw,legacy_detected_iou20_raw,legacy_best_iou_raw,legacy_attributable_interval_count,legacy_onset_delay_hours,legacy_score_max,scenario,seed,heldout_start,event_after_heldout,protocol_role,if_score_min,if_anom_k_max,warning_score_max,cow_background_notifs,legacy_cow_background_notifs,cow_false_notifs,legacy_cow_false_notifs,cow_monitoring_days,cow_total_span_days,cow_days,sensitivity_run_hash,sensitivity_module_version,sensitivity_configuration,sensitivity_parameter,sensitivity_tested_value
9888_gradual_mild_s11_1956,9888,2023-11-05 19:45:00,2023-11-07 07:30:00,144,36.0,gradual_mild,1,"Niveau de sensibilite conservateur, inferieur a l'effet publie.",-0.12,-0.1,-0.12,0.03,2,0.7986933442221315,800.0,4728.0,31.0,-0.1148643504548841,-0.0941605003558645,-0.0844539618501312,True,0,0,1,0,0.0416666666666666,1,0,0.1666666666666666,6,,0.3589173682403524,1,1,0,0,0.0,1,0,0.0208333333333333,0,20.75,7.0,gradual_mild,11,2023-10-31 18:45:00,True,primary,-0.174518741338845,7.0,0.3589173682403524,3,1,3,1,10.177083333333334,25.447916666666668,10.177083333333334,54abea97dcb4348c9cc028149d376cb67aaefd6905e0f7aa5d05c42ecec4f2fa,1,cooldown_hours__48p0,cooldown_hours,48.0
9888_gradual_moderate_s11_2176,9888,2023-11-08 02:45:00,2023-11-10 02:30:00,192,48.0,gradual_moderate,1,Pas ancres sur Paudyal et al. 2021; autres signaux = hypotheses coherentes.,-0.29,-0.25,-0.25,0.07,2,0.8885259289505921,965.0,6301.0,42.0,-0.2546014155931393,-0.2184903829495026,-0.177213325650104,True,1,1,1,0,0.182741116751269,1,1,0.4720812182741117,52,24.75,0.517182221211754,0,0,0,0,0.0,0,0,0.0,0,,4.0,gradual_moderate,11,2023-10-31 18:45:00,True,primary,-0.095286355954225,4.0,0.517182221211754,3,1,3,1,10.177083333333334,25.447916666666668,10.177083333333334,54abea97dcb4348c9cc028149d376cb67aaefd6905e0f7aa5d05c42ecec4f2fa,1,cooldown_hours__48p0,cooldown_hours,48.0
9888_gradual_marked_s11_1552,9888,2023-11-01 14:45:00,2023-11-04 02:30:00,240,60.0,gradual_marked,1,"Scenario marque de sensibilite, non calibre cliniquement.",-0.42,-0.38,-0.4,0.12,2,0.6337280522662311,967.0,6020.0,41.0,-0.3821948887734108,-0.3390271910490666,-0.2846092369932786,True,1,1,1,0,0.0875,1,1,0.4416666666666666,42,13.5,0.7195001123655838,0,0,0,0,0.0,0,0,0.0,0,,7.0,gradual_marked,11,2023-10-31 18:45:00,True,primary,-0.1063899975670302,7.0,0.7195001123655838,3,1,3,1,10.177083333333334,25.447916666666668,10.177083333333334,54abea97dcb4348c9cc028149d376cb67aaefd6905e0f7aa5d05c42ecec4f2fa,1,cooldown_hours__48p0,cooldown_hours,48.0
9888_isolated_short_variation_s11_1868,9888,2023-11-04 21:45:00,2023-11-05 00:30:00,12,3.0,isolated_short_variation,0,"Controle negatif: variation isolee et breve, sans coherence multivariee.",0.15,0.0,0.0,0.0,2,0.7627603103307472,20.0,123.0,4.0,0.0974999999999999,0.0,0.0,True,0,0,0,0,0.0,1,0,0.1318681318681318,0,,0.6504747281741662,0,0,0,0,0.0,0,0,0.0,0,,2.0,isolated_short_variation,11,2023-10-31 18:45:00,True,primary,-0.0029962140958115,2.0,0.6504747281741662,3,1,3,1,10.177083333333334,25.447916666666668,10.177083333333334,54abea97dcb4348c9cc028149d376cb67aaefd6905e0f7aa5d05c42ecec4f2fa,1,cooldown_hours__48p0,cooldown_hours,48.0
2056_gradual_mild_s11_1555,2056,2023-11-01 14:45:00,2023-11-03 02:30:00,144,36.0,gradual_mild,1,"Niveau de sensibilite conservateur, inferieur a l'effet publie.",-0.12,-0.1,-0.12,0.03,0,0.6341761827079935,300.0,2080.0,23.0,-0.1089118693615629,-0.0888107461032805,-0.0818213384503311,True,1,2,1,1,0.2974683544303797,1,1,0.2974683544303797,77,15.0,0.4450213526622437,1,1,1,0,0.0416666666666666,1,0,0.0416666666666666,6,3.0,9.0,gradual_mild,11,2023-10-31 18:45:00,True,primary,-0.1488765646095069,9.0,0.4450213526622437,4,0,4,0,10.177083333333334,25.447916666666668,10.177083333333334,231455ac204a6b00ad2c06eaadfe0d58aa11eb926b4d9c3fb85de623071f50ac,1,family_min_change__0p05,family_min_change,0.05
2056_gradual_moderate_s11_1775,2056,2023-11-03 21:45:00,2023-11-05 21:30:00,192,48.0,gradual_moderate,1,Pas ancres sur Paudyal et al. 2021; autres signaux = hypotheses coherentes.,-0.29,-0.25,-0.25,0.07,0,0.7238988580750407,130.0,1176.0,38.0,-0.216006994824154,-0.1923584240434124,-0.1907925972474264,True,1,1,1,0,0.1510416666666666,1,1,0.6844660194174758,34,12.75,0.6818309617198212,0,0,0,0,0.0,0,0,0.0,0,,3.0,gradual_moderate,11,2023-10-31 18:45:00,True,primary,-0.1273324605913387,3.0,0.6818309617198212,4,0,4,0,10.177083333333334,25.447916666666668,10.177083333333334,231455ac204a6b00ad2c06eaadfe0d58aa11eb926b4d9c3fb85de623071f50ac,1,family_min_change__0p05,family_min_change,0.05
2056_gradual_marked_s11_2043,2056,2023-11-06 16:45:00,2023-11-09 04:30:00,240,60.0,gradual_marked,1,"Scenario marque de sensibilite, non calibre cliniquement.",-0.42,-0.38,-0.4,0.12,0,0.8331973898858075,691.0,4350.0,42.0,-0.3933038241212693,-0.3472760656829531,-0.2959885295415894,True,1,1,1,1,0.5125,1,1,0.5125,123,16.0,0.4923229074832419,0,0,0,0,0.0,0,0,0.0,0,,8.0,gradual_marked,11,2023-10-31 18:45:00,True,primary,-0.133042554746591,8.0,0.4923229074832419,4,0,4,0,10.177083333333334,25.447916666666668,10.177083333333334,231455ac204a6b00ad2c06eaadfe0d58aa11eb926b4d9c3fb85de623071f50ac,1,family_min_change__0p05,family_min_change,0.05
2056_isolated_short_variation_s11_2359,2056,2023-11-09 23:45:00,2023-11-10 02:30:00,12,3.0,isolated_short_variation,0,"Controle negatif: variation isolee et breve, sans coherence multivariee.",0.15,0.0,0.0,0.0,0,0.9620717781402937,2.0,41.0,3.0,0.0944444444444445,0.0,0.0,True,0,0,0,0,0.0,0,0,0.0,0,,0.178699467842877,0,0,0,0,0.0,0,0,0.0,0,,3.0,isolated_short_variation,11,2023-10-31 18:45:00,True,primary,-0.0348854780992813,3.0,0.178699467842877,4,0,4,0,10.177083333333334,25.447916666666668,10.177083333333334,231455ac204a6b00ad2c06eaadfe0d58aa11eb926b4d9c3fb85de623071f50ac,1,family_min_change__0p05,family_min_change,0.05
7443_gradual_mild_s11_2225,7443,2023-11-08 14:45:00,2023-11-10 02:30:00,144,36.0,gradual_mild,1,"Niveau de sensibilite conservateur, inferieur a l'effet publie.",-0.12,-0.1,-0.12,0.03,1,0.9081632653061223,428.0,3107.0,23.0,-0.0810837436810537,-0.0705637314344634,-0.0922825272899905,True,1,2,1,0,0.1168831168831168,1,0,0.1168831168831168,30,20.0,0.2971703364742573,0,0,0,0,0.0,0,0,0.0,0,,7.0,gradual_mild,11,2023-10-31 18:45:00,True,primary,-0.1626165677610692,7.0,0.2971703364742573,4,3,4,3,10.177083333333334,25.447916666666668,10.177083333333334,231455ac204a6b00ad2c06eaadfe0d58aa11eb926b4d9c3fb85de623071f50ac,1,family_min_change__0p05,family_min_change,0.05
7443_gradual_moderate_s11_1553,7443,2023-11-01 14:45:00,2023-11-03 14:30:00,192,48.0,gradual_moderate,1,Pas ancres sur Paudyal et al. 2021; autres signaux = hypotheses coherentes.,-0.29,-0.25,-0.25,0.07,1,0.6338775510204082,984.0,5819.0,26.0,-0.2078725670597057,-0.1790670778338092,-0.1687029944219182,True,1,1,1,0,0.1979166666666666,1,1,0.3177083333333333,45,15.5,0.3904142481381192,0,0,0,0,0.0,1,0,0.0052083333333333,0,,7.0,gradual_moderate,11,2023-10-31 18:45:00,True,primary,-0.1705663970068326,7.0,0.3904142481381192,4,3,4,3,10.177083333333334,25.447916666666668,10.177083333333334,231455ac204a6b00ad2c06eaadfe0d58aa11eb926b4d9c3fb85de623071f50ac,1,family_min_change__0p05,family_min_change,0.05
