experiment,configuration,n_cows,n_events,hypo_actionable_detection,instability_surveillance_detection,instability_actionable_detection,sequence_actionable_detection,actionable_detection,benign_control_alert_rate,confound_alert_rate,actionable_iou20,actionable_delay_h_median,background_per_cow_day,technical_utility,eligible_full_scope,instability_aggregation_hours,instability_persistence_hours,instability_cooldown_hours,instability_restless_motion_min_change,instability_transition_density_min_change,instability_fragmentation_min_change,instability_posture_volatility_min_change,instability_score_threshold,instability_cusum_drift,instability_cusum_threshold,instability_min_families,instability_coordinated_activity_min_change,instability_coordinated_activity_tolerance,instability_coverage_min_pct,fusion_mode,fusion_cooldown_hours,fusion_sequence_min_hours,fusion_sequence_max_hours
fusion,instability_only,11,132,0.2424242424242424,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.3863636363636363,0.0,0.0,0.0,11.0,0.8748363381186052,0.2239127349280548,False,3.0,2.0,12.0,0.2,0.2,0.2,0.2,0.18,0.06,0.7,2,0.15,0.2,25.0,INSTABILITY_ONLY,12.0,0.0,72.0
fusion,hierarchical,11,132,0.6666666666666666,0.6666666666666666,0.1212121212121212,0.9090909090909092,0.7272727272727273,0.0,0.4090909090909091,0.2954545454545454,19.875,0.5711236741193494,-0.0883825567812594,True,3.0,2.0,12.0,0.2,0.2,0.2,0.2,0.18,0.06,0.7,2,0.15,0.2,25.0,HIERARCHICAL,12.0,0.0,72.0
fusion,or,11,132,0.5757575757575758,0.6666666666666666,0.6363636363636364,0.9090909090909092,0.6590909090909091,0.0,0.3181818181818182,0.1136363636363636,13.5,0.9818659709931788,-0.14342342766159,False,3.0,2.0,12.0,0.2,0.2,0.2,0.2,0.18,0.06,0.7,2,0.15,0.2,25.0,OR,12.0,0.0,72.0
fusion,hypo_only,11,132,0.5454545454545454,0.6666666666666666,0.0,0.8181818181818182,0.6136363636363636,0.0,0.4090909090909091,0.2954545454545454,20.5,0.4461470543881202,-0.1645259344982543,True,3.0,2.0,12.0,0.2,0.2,0.2,0.2,0.18,0.06,0.7,2,0.15,0.2,25.0,HYPO_ONLY,12.0,0.0,72.0
fusion,sequential_24_72h,11,132,0.4848484848484848,0.6666666666666666,0.0,0.8181818181818182,0.5681818181818182,0.0,0.3636363636363636,0.0,22.0,0.3658340617156048,-0.1688411276055905,False,3.0,2.0,12.0,0.2,0.2,0.2,0.2,0.18,0.06,0.7,2,0.15,0.2,25.0,SEQUENTIAL,12.0,24.0,72.0
parameter_sensitivity,thresholds_strict,11,132,0.6666666666666666,0.6666666666666666,0.0909090909090909,0.9090909090909092,0.7272727272727273,0.0,0.4090909090909091,0.2954545454545454,21.25,0.5532582232958638,-0.0830229215342137,True,3.0,2.0,12.0,0.3,0.3,0.3,0.3,0.25,0.06,1.0,2,0.15,0.2,25.0,HIERARCHICAL,12.0,0.0,72.0
parameter_sensitivity,reference,11,132,0.6666666666666666,0.6666666666666666,0.1212121212121212,0.9090909090909092,0.7272727272727273,0.0,0.4090909090909091,0.2954545454545454,19.875,0.5711236741193494,-0.0883825567812594,True,3.0,2.0,12.0,0.2,0.2,0.2,0.2,0.18,0.06,0.7,2,0.15,0.2,25.0,HIERARCHICAL,12.0,0.0,72.0
parameter_sensitivity,aggregation_4h,11,132,0.696969696969697,0.5454545454545454,0.0606060606060606,0.8181818181818182,0.7272727272727273,0.0,0.4090909090909091,0.2954545454545454,18.375,0.5175273216488926,-0.0904854692219405,True,4.0,3.0,12.0,0.2,0.2,0.2,0.2,0.18,0.06,0.7,2,0.15,0.2,25.0,HIERARCHICAL,12.0,0.0,72.0
parameter_sensitivity,persistence_3h,11,132,0.696969696969697,0.5757575757575758,0.0909090909090909,0.9090909090909092,0.75,0.0,0.4545454545454545,0.2954545454545454,19.75,0.544325497884121,-0.1621612857288726,True,3.0,3.0,12.0,0.2,0.2,0.2,0.2,0.18,0.06,0.7,2,0.15,0.2,25.0,HIERARCHICAL,12.0,0.0,72.0
