variant,cow,first_sensor_time,last_sensor_time_before_score,primary_coverage,pre7_hybrid_notifs,pre7_hybrid_frac_time,pre7_hybrid_score_max,pre7_instability_surveillance_frac,pre7_hypo_notifs,pre7_instability_notifs,future_hybrid_notif_per_cow_day,sls_jan,sls_mar,treatment,sls_ge_2
instability_only,8508,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,3,0.03422619047619048,0.9749999999999999,0.019345238095238096,4,3,0.4143884892086331,0.0,1.0,Exercise,0
instability_only,8510,2019-01-17 08:30:00,2019-03-11 23:45:00,0.9940476190476191,2,0.026785714285714284,0.9595550666762317,0.017857142857142856,3,2,0.27988338192419826,1.0,1.0,Exercise,0
or,2047,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,5,0.5357142857142857,0.9588389610389609,0.00744047619047619,5,1,0.7366906474820144,2.0,1.0,No_Exercise,0
or,2056,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,7,0.6651785714285714,0.9255442277255153,0.019345238095238096,5,5,0.9669064748201439,1.0,2.0,Exercise,1
or,2063,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,4,0.37351190476190477,1.0,0.011904761904761904,3,1,0.7366906474820144,1.0,0.0,No_Exercise,0
or,2069,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,3,0.5654761904761905,0.8902872777017783,0.0,2,1,0.5985611510791367,2.0,1.0,No_Exercise,0
or,3437,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,6,0.47619047619047616,1.0,0.017857142857142856,4,3,0.8981838194826638,0.0,1.0,,0
or,3443,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,7,0.5595238095238095,1.0,0.00744047619047619,5,3,0.9669064748201439,2.0,2.0,Exercise,1
or,5221,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,5,0.875,0.9749999999999999,0.01488095238095238,3,5,1.0129496402877698,2.0,1.0,No_Exercise,0
or,5246,2019-01-23 13:00:00,2019-03-11 23:45:00,0.9940476190476191,6,0.6398809523809523,1.0,0.00744047619047619,5,4,0.8967032967032967,2.0,2.0,Exercise,1
or,5250,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,5,0.5059523809523809,0.9749999999999999,0.049107142857142856,2,2,0.920863309352518,1.0,1.0,Exercise,0
or,8500,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,5,0.6919642857142857,1.0,0.046130952380952384,3,3,0.920863309352518,0.0,1.0,No_Exercise,0
or,8505,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,6,0.9017857142857143,0.9947913141310014,0.013392857142857142,2,5,0.7366906474820144,0.0,0.0,No_Exercise,0
or,8506,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,6,0.44047619047619047,0.9749999999999999,0.008928571428571428,4,1,0.874820143884892,0.0,1.0,No_Exercise,0
or,8508,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,7,0.5119047619047619,0.9749999999999999,0.019345238095238096,4,3,0.9669064748201439,0.0,1.0,Exercise,0
or,8510,2019-01-17 08:30:00,2019-03-11 23:45:00,0.9940476190476191,4,0.47172619047619047,0.9595550666762317,0.017857142857142856,3,2,0.7463556851311953,1.0,1.0,Exercise,0
hierarchical,2047,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,5,0.5282738095238095,0.9588389610389609,0.00744047619047619,5,1,0.6906474820143885,2.0,1.0,No_Exercise,0
hierarchical,2056,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,7,0.6458333333333334,0.9255442277255153,0.019345238095238096,5,5,0.8287769784172662,1.0,2.0,Exercise,1
hierarchical,2063,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,3,0.36160714285714285,1.0,0.011904761904761904,3,1,0.6446043165467625,1.0,0.0,No_Exercise,0
hierarchical,2069,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,3,0.5654761904761905,0.8902872777017783,0.0,2,1,0.5064748201438849,2.0,1.0,No_Exercise,0
hierarchical,3437,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,5,0.4583333333333333,1.0,0.017857142857142856,4,3,0.7396807925151349,0.0,1.0,,0
hierarchical,3443,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,7,0.5520833333333334,1.0,0.00744047619047619,5,3,0.920863309352518,2.0,2.0,Exercise,1
hierarchical,5221,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,4,0.8601190476190477,0.9749999999999999,0.01488095238095238,3,5,0.7827338129496403,2.0,1.0,No_Exercise,0
hierarchical,5246,2019-01-23 13:00:00,2019-03-11 23:45:00,0.9940476190476191,6,0.6324404761904762,1.0,0.00744047619047619,5,4,0.843956043956044,2.0,2.0,Exercise,1
hierarchical,5250,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,3,0.4568452380952381,0.9749999999999999,0.049107142857142856,2,2,0.7366906474820144,1.0,1.0,Exercise,0
hierarchical,8500,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,5,0.6458333333333334,1.0,0.046130952380952384,3,3,0.8287769784172662,0.0,1.0,No_Exercise,0
hierarchical,8505,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,6,0.8883928571428571,0.9947913141310014,0.013392857142857142,2,5,0.7366906474820144,0.0,0.0,No_Exercise,0
